function_name,module_name,target_function,return_line
_add_expansion_threat_negs,BotExpansionOps,_add_expansion_threat_negs,"-        return BotExpansionOps._add_expansion_threat_negs(self, negs)"
_check_should_wait_city_capture,BotCityOps,_check_should_wait_city_capture,"-        return BotCityOps._check_should_wait_city_capture(self)"
_get_approximate_greedy_turns_available,BotTimings,_get_approximate_greedy_turns_available,"-        return BotTimings._get_approximate_greedy_turns_available(self)"
_get_avoid_other_players_expansion_matrix,BotExpansionOps,_get_avoid_other_players_expansion_matrix,"-        return BotExpansionOps._get_avoid_other_players_expansion_matrix(self)"
_get_defensive_spanning_tree,BotDefense,_get_defensive_spanning_tree,"-        return BotDefense._get_defensive_spanning_tree(self, negativeTiles, gatherPrioMatrix)"
_get_expansion_plan_exploration_move,BotExpansionOps,_get_expansion_plan_exploration_move,"-        return BotExpansionOps._get_expansion_plan_exploration_move(self, armyCutoff, negativeTiles)"
_get_expansion_plan_quick_capture_move,BotExpansionOps,_get_expansion_plan_quick_capture_move,"-        return BotExpansionOps._get_expansion_plan_quick_capture_move(self, defenseCriticalTileSet)"
_get_flank_defense_leafmove,BotDefense,_get_flank_defense_leafmove,"-        return BotDefense._get_flank_defense_leafmove(self, flankPath, coreNegs)"
_get_flank_vision_defense_move_internal,BotDefense,_get_flank_vision_defense_move_internal,"-        return BotDefense._get_flank_vision_defense_move_internal(self, flankThreatPath, negativeTiles, atDist)"
_get_furthest_apart_3_enemy_general_locations,BotTargeting,_get_furthest_apart_3_enemy_general_locations,"-        return BotTargeting._get_furthest_apart_3_enemy_general_locations(self, player)"
_get_standard_expansion_capture_weight_matrix,BotExpansionOps,_get_standard_expansion_capture_weight_matrix,"-        return BotExpansionOps._get_standard_expansion_capture_weight_matrix(self)"
_get_tree_move_default_value_func,BotGatherOps,_get_tree_move_default_value_func,"-        return BotGatherOps._get_tree_move_default_value_func(self)"
_get_tree_move_non_city_leaf_count_recurse,BotGatherOps,_get_tree_move_non_city_leaf_count_recurse,"-        return BotGatherOps._get_tree_move_non_city_leaf_count_recurse(self, gather)"
_get_vision_expanding_available_move,BotDefense,_get_vision_expanding_available_move,"-        return BotDefense._get_vision_expanding_available_move(self, coreNegs, pathToCheckForVisionOf)"
_is_invalid_defense_intercept_for_threat,BotDefense,_is_invalid_defense_intercept_for_threat,"-        return BotDefense._is_invalid_defense_intercept_for_threat(self, interceptPath, threat)"
_should_use_iterative_negative_expand,BotExpansionOps,_should_use_iterative_negative_expand,"-        return BotExpansionOps._should_use_iterative_negative_expand(self)"
are_more_teams_alive_than,BotTargeting,are_more_teams_alive_than,"-        return BotTargeting.are_more_teams_alive_than(self, numTeams)"
block_neutral_captures,BotCityOps,block_neutral_captures,"-        return BotCityOps.block_neutral_captures(self, reason)"
build_intercept_plans,BotDefense,build_intercept_plans,"-        return BotDefense.build_intercept_plans(self, negTiles)"
build_mst,BotGatherOps,build_mst,"-        return BotGatherOps.build_mst(self, startTiles, maxTime, maxDepth, negativeTiles, avoidTiles, priorityFunc)"
build_mst_rebuild,BotGatherOps,build_mst_rebuild,"-        return BotGatherOps.build_mst_rebuild(self, startTiles, fromMap, searchingPlayer)"
calculate_general_danger,BotDefense,calculate_general_danger,"-        return BotDefense.calculate_general_danger(self)"
